Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,Population_Density
2276,30th week,Jammu and Kashmir,Kupwara,Acute Diarrhoeal Disease,325,,27,7,2017,34.6110236,74.23847867,0.5077901958,,290.4833334,56
2277,30th week,Karnataka,Ramanagara,Chikungunya,34,,20,7,2017,12.7252766,77.2804797,0.4955581068,,303.8266666,319
2278,30th week,Kerala,Pathanamthitta,Cholera,4,1.0,20,7,2017,9.2780841,76.9737443,0.4166274169,,298.85,859
2279,30th week,Maharashtra,Gadchiroli,Malaria,127,1.0,20,7,2017,19.75907035,80.16228073,3.48293604,,,365
2280,30th week,Madhya Pradesh,Khandwa,Acute Diarrhoeal Disease,165,1.0,23,7,2017,21.9778642,76.56882823,1.051537324,8.0,302.26,236
2281,30th week,Madhya Pradesh,Narsinghpur,Acute Diarrhoeal Disease,14,1.0,26,7,2017,22.9467047,79.1980228,0.4755056986,2.0,,236
2282,30th week,Madhya Pradesh,Sidhi,Acute Diarrhoeal Disease,16,,26,7,2017,24.25,82.0,2.500361904,2.0,,236
2283,30th week,Punjab,Ludhiana,Cholera,106,,30,7,2017,30.9090157,75.851601,0.3380100873,13.0,303.344,550
2284,30th week,Tamil Nadu,Villupuram,Acute Diarrhoeal Disease,54,,29,7,2017,11.9415377,79.4861469,0.06536877034,9.0,311.732,555
2285,30th week,Telangana,Khammam,Dengue,26,,24,7,2017,17.5,80.333333,0.8386162575,10.0,300.27,312
2286,30th week,Uttar Pradesh,Azamgarh,Acute Diarrhoeal Disease,11,,28,7,2017,26.02269675,83.02887343,1.465155439,,303.44,828
2287,30th week,Uttarakhand,Rudraprayag,Acute Diarrhoeal Disease,13,,21,7,2017,30.3009965,79.06287965,1.602749148,11.0,284.49333340000004,189
2288,30th week,Maharashtra,Kolhapur,Acute Diarrhoeal Disease,41,,17,7,2017,16.7028412,74.2405329,0.2813078501,6.0,305.82,365
2289,30th week,Manipur,Churachandpur,Dengue,29,1.0,4,5,2017,24.378704,93.6970015,0.1300617482,53.0,301.3833334,122
2290,31st week,Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,51,,31,7,2017,14.4956602,78.8349278,0.08707381249,6.0,308.0466666,308
2291,31st week,Chhattisgarh,Janjgir,Acute Diarrhoeal Disease,18,,29,7,2017,22.0090841,82.578896,1.947495509,6.0,,189
2292,31st week,Chhattisgarh,Korba,Acute Diarrhoeal Disease,58,,30,7,2017,22.3547468,82.7110855,1.630682322,6.0,,189
2293,31st week,Chhattisgarh,Korba,Acute Diarrhoeal Disease,43,,31,7,2017,22.3547468,82.7110855,1.471739798,6.0,,189
2294,31st week,Gujarat,Anand,Acute Diarrhoeal Disease,33,,2,8,2017,22.5584995,72.9625629,1.074812929,7.0,299.44,308
2295,31st week,Jammu and Kashmir,Baramulla,Acute Diarrhoeal Disease,289,,31,7,2017,34.20500565,74.36221081,0.2338324777,22.0,297.0233334,56
2296,31st week,Jammu and Kashmir,Kulgam,Acute Diarrhoeal Disease,85,,2,8,2017,33.66980055,75.01480232,0.7091477616,20.0,293.25,56
2297,31st week,Jammu and Kashmir,Jammu and Kashmir,Acute Diarrhoeal Disease,12,,4,8,2017,32.7185614,74.8580917,1.594628235,,286.9866666,56
2298,31st week,Karnataka,Chikkaballapura,Chikungunya,62,,27,7,2017,13.4358702,77.7312434,0.0318631655,,307.732,319
2299,31st week,Karnataka,Chitradurga,Dengue,23,,3,8,2017,14.2266443,76.4005122,0.0765415076,5.0,308.88,319
2300,31st week,Karnataka,Dharwad,Acute Diarrhoeal Disease,46,,29,7,2017,15.4540505,75.0066516,0.1981826217,4.0,304.375,319
2301,31st week,Karnataka,Hassan,Acute Diarrhoeal Disease,26,,2,8,2017,13.0070817,76.0992703,0.1875091292,7.0,305.82,319
2302,31st week,Kerala,Kozhikode,Cholera,6,,1,8,2017,11.2450558,75.7754716,0.2666190138,,,859
2303,31st week,Madhya Pradesh,Khandwa,Cholera,34,,2,8,2017,21.9778642,76.56882823,0.4464960214,11.0,298.04,236
2304,31st week,Madhya Pradesh,Sehore,Dengue,32,,2,8,2017,23.1156882,77.06623939,1.105708936,10.0,,236
2305,31st week,Madhya Pradesh,Sehore,Acute Diarrhoeal Disease,84,,2,8,2017,23.1156882,77.06623939,1.105708936,10.0,,236
2306,31st week,Rajasthan,Kota,Acute Diarrhoeal Disease,34,1.0,25,7,2017,25.1737019,75.8574194,0.8324153053,5.0,313.86,201
2307,31st week,Tamil Nadu,Madurai,Dengue,49,,31,7,2017,9.9261153,78.1140983,0.05055837054,5.0,315.348,555
2308,31st week,Telangana,Kamareddy,Acute Diarrhoeal Disease,39,,3,8,2017,18.316551,78.05393808,0.1346873564,11.0,301.12,312
2309,31st week,West Bengal,Dakshin Dinajpur,Acute Diarrhoeal Disease,72,,29,7,2017,25.38703085,88.50471505,0.5189521535,4.0,300.96,1030
2310,31st week,Chhattisgarh,Bilaspur,Acute Diarrhoeal Disease,5,2.0,25,7,2017,21.98934025,82.10996499,1.554666691,3.0,,189
2311,31st week,Karnataka,Bijapur,Chikungunya,18,,26,7,2017,16.8269911,75.7175387,0.06490278469,3.0,303.74,319
2312,31st week,Puducherry,Karaikal,Dengue,32,,24,7,2017,10.91571,79.8375761,0.01818876568,9.0,311.3,2598
2313,31st week,Telangana,RAJANNA SIRCILLA,Dengue,135,,4,7,2017,18.452116,78.76455837,0.2563134841,,,312
2314,31st week,West Bengal,Burdwan,Acute Diarrhoeal Disease,154,,24,7,2017,23.2495714,87.8681751,1.387436199,5.0,,1030
2315,31st week,West Bengal,Birbhum,Dengue,340,,23,7,2017,24.0,87.583333,0.5813826903,4.0,306.40000000000003,1030
2316,31st week,West Bengal,Purulia,Acute Diarrhoeal Disease,115,,26,7,2017,23.3291882,86.3672378,1.356479216,1.0,,1030
2317,32nd week,Bihar,Saharsa,Acute Diarrhoeal Disease,16,,9,8,2017,25.83264165,86.61489283,1.031599159,5.0,292.15000000000003,1102
2318,32nd week,Chhattisgarh,Balodabazar,Acute Diarrhoeal Disease,28,,7,8,2017,21.6542,82.1739,0.37602886,6.0,304.04,189
2319,32nd week,Jammu and Kashmir,Baramulla,Acute Diarrhoeal Disease,13,,6,8,2017,34.20500565,74.36221081,0.4893587008,24.0,297.02,56
2320,32nd week,Jammu and Kashmir,Pulwama,Acute Diarrhoeal Disease,31,,5,8,2017,33.89829355,74.89634094,0.9501646551,,286.6633334,56
2321,32nd week,Jharkhand,Deoghar,Acute Diarrhoeal Disease,23,,3,8,2017,24.4766423,86.60673245,0.864363253,5.0,,414
2322,32nd week,Jharkhand,Lohardaga,Acute Diarrhoeal Disease,12,,7,8,2017,23.46920055,84.73568423,1.036276621,18.0,299.84000000000003,414
2323,32nd week,Maharashtra,Gadchiroli,Malaria,4,1.0,4,8,2017,19.75907035,80.16228073,0.2776156592,,302.99333340000004,365
2324,32nd week,Punjab,Ludhiana,Cholera,459,1.0,14,8,2017,30.9090157,75.851601,0.2742482473,19.0,301.36,550
2325,32nd week,Rajasthan,Banswara,Acute Diarrhoeal Disease,8,4.0,8,8,2017,23.4929453,74.34983641,0.1941433319,10.0,299.7,201
2326,32nd week,Tamil Nadu,Thoothukudi,Chikungunya,29,,6,8,2017,8.8052602,78.1452745,0.09788972959,3.0,316.4866666,555
2327,32nd week,Uttar Pradesh,Ghazipur,Acute Diarrhoeal Disease,18,,5,8,2017,25.6035084,83.50745405,0.7597186379,,,828
2328,32nd week,West Bengal,Burdwan,Acute Diarrhoeal Disease,23,,8,8,2017,23.2495714,87.8681751,0.8085990065,4.0,,1030
2329,32nd week,Bihar,Vaishali,Acute Diarrhoeal Disease,32,,21,7,2017,25.95322565,85.1445776,0.4397621465,6.0,305.0266666,1102
2330,32nd week,Chhattisgarh,Bemetara,Acute Diarrhoeal Disease,59,,20,7,2017,21.6783969,81.43047623,0.6899436639,,,189
2331,32nd week,Chhattisgarh,Raigarh,Acute Gastroenteritis,53,,4,7,2017,22.5,83.5,1.227789934,,,189
2332,32nd week,Chhattisgarh,Raigarh,Acute Gastroenteritis,22,,10,7,2017,22.5,83.5,0.4839305235,4.0,,189
2333,32nd week,Chhattisgarh,Raigarh,Acute Gastroenteritis,25,,19,7,2017,22.5,83.5,0.7299221628,,303.66,189
2334,32nd week,Chhattisgarh,Surajpur,Malaria,1422,9.0,28,7,2017,23.35151515,82.97290273,2.46135401,,,189
2335,32nd week,Jharkhand,Dhanbad,Acute Diarrhoeal Disease,91,,2,7,2017,23.7952809,86.4309638,0.3566631723,5.0,298.76,414
2336,32nd week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,27,3.0,25,7,2017,25.1265777,83.24965577,2.029030717,2.0,303.78000000000003,828
2337,32nd week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,15,,29,7,2017,25.1265777,83.24965577,2.569103886,6.0,,828
2338,32nd week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,22,,29,7,2017,25.1265777,83.24965577,2.569103886,6.0,,828
2339,32nd week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,12,,2,8,2017,25.1265777,83.24965577,0.7534587358,6.0,,828
2340,32nd week,West Bengal,North 24 Parganas,Dengue,387,,1,8,2017,22.642931,88.8930579,0.6668045778,6.0,297.82,1030
2341,32nd week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,18,,1,8,2017,22.642931,88.8930579,0.6668045778,6.0,297.82,1030
2342,33rd week,Bihar,Patna,Acute Diarrhoeal Disease,20,,16,8,2017,25.6093239,85.1235252,1.268049227,5.0,277.74,1102
2343,33rd week,Chhattisgarh,Mahasamund,Cholera,39,,16,8,2017,21.1882332,82.48484762,0.4004477981,10.0,301.44,189
2344,33rd week,Jammu and Kashmir,Kupwara,Acute Diarrhoeal Disease,104,,12,8,2017,34.6110236,74.23847867,0.5467073798,,295.42,56
2345,33rd week,Karnataka,Vijayapura,Chikungunya,20,,14,8,2017,16.666667,75.916667,0.3364169723,3.0,309.05,319
2346,33rd week,Karnataka,Tumkur,Chikungunya,48,,18,8,2017,13.3400771,77.1006208,0.2142071876,4.0,,319
2347,33rd week,Karnataka,Tumkur,Dengue,56,,17,8,2017,13.3400771,77.1006208,0.4341899025,4.0,,319
2348,33rd week,Meghalaya,West Garo Hills,Chikungunya,33,,22,6,2017,25.60631425,90.21139055,1.142944984,25.0,297.87,132
2349,33rd week,Meghalaya,West Garo Hills,Dengue,126,,7,6,2017,25.60631425,90.21139055,1.115118557,34.0,299.75,132
2350,33rd week,Maharashtra,Nagpur,Chikungunya,38,,18,8,2017,21.1498134,79.0820556,0.1205257228,10.0,,365
2351,33rd week,Maharashtra,Satara,Dengue,26,,18,8,2017,17.63612885,74.29827808,0.1045410184,8.0,307.5133334,365
2352,33rd week,Madhya Pradesh,Khandwa,Chikungunya,65,,14,8,2017,21.9778642,76.56882823,0.1238963,11.0,,236
2353,33rd week,Madhya Pradesh,Morena,Dengue,18,,11,8,2017,26.166667,77.5,0.7744701128,7.0,,236
2354,33rd week,Rajasthan,Kota,Acute Diarrhoeal Disease,49,,11,8,2017,25.1737019,75.8574194,0.8194548876,8.0,291.7,201
2355,33rd week,Tamil Nadu,Thiruvallur,Dengue,20,,16,8,2017,13.13014755,79.92435386,0.4863094222,6.0,306.34000000000003,555
2356,33rd week,Tamil Nadu,Madurai,Chikungunya,72,,16,8,2017,9.9261153,78.1140983,0.3622124981,6.0,,555
2357,33rd week,Tamil Nadu,Tiruvannamalai,Acute Diarrhoeal Disease,46,,18,8,2017,12.22721295,79.07015555,0.3997835747,8.0,301.88,555
2358,33rd week,Telangana,Khammam,Dengue,42,,14,8,2017,17.5,80.333333,0.5414964367,11.0,305.23,312
2359,33rd week,Uttar Pradesh,Budaun,Malaria,160,3.0,17,8,2017,28.06831165,79.04607312,0.05634271209,10.0,300.6,828
2360,33rd week,West Bengal,Purba Medinipur,Dengue,147,,31,7,2017,22.06217445,87.83672383,1.59813157,5.0,,1030
2361,33rd week,West Bengal,Purba Medinipur,Dengue,65,,18,8,2017,22.06217445,87.83672383,0.6258037772,5.0,,1030
2362,33rd week,Arunachal Pradesh,Papum Pare,Acute Diarrhoeal Disease,112,1.0,3,8,2017,27.28636665,93.6187716,1.461355685,22.0,297.8933334,17
2363,33rd week,Chandigarh,Chandigarh,Dengue,33,,7,8,2017,30.72984395,76.78414567,1.805582248,14.0,,9252
2364,33rd week,Kerala,Palakkad,Dengue,617,4.0,30,5,2017,10.78789845,76.47408711,0.6551171401,14.0,304.315,859
2365,33rd week,West Bengal,North 24 Parganas,Dengue,680,,1,8,2017,22.642931,88.8930579,0.6668045778,6.0,297.82,1030
2366,33rd week,West Bengal,Birbhum,Dengue,383,,23,7,2017,24.0,87.583333,0.5813826903,4.0,306.40000000000003,1030
2367,34th week,Bihar,Madhubani,Acute Diarrhoeal Disease,10,,22,8,2017,26.350072,86.22914689,0.6710073868,17.0,298.02,1102
2368,34th week,Bihar,Nawada,Acute Diarrhoeal Disease,14,2.0,20,8,2017,24.818124,85.51855623,0.5748522805,,,1102
2369,34th week,Bihar,Nawada,Acute Diarrhoeal Disease,25,,20,8,2017,24.818124,85.51855623,0.5748522805,,,1102
2370,34th week,Jammu and Kashmir,Bandipora,Acute Diarrhoeal Disease,24,,21,8,2017,34.4232433,74.635965,0.04996701226,,296.9233334,56
2371,34th week,Karnataka,Dharwad,Cholera,78,,22,8,2017,15.4540505,75.0066516,0.2489865175,3.0,309.22,319
2372,34th week,Karnataka,Haveri,Dengue,14,,22,8,2017,14.7874825,75.3996731,0.5315619671,11.0,298.13,319
2373,34th week,Karnataka,Tumkur,Chikungunya,25,,23,8,2017,13.3400771,77.1006208,0.3104545478,4.0,301.90000000000003,319
2374,34th week,Uttar Pradesh,Ghazipur,Acute Diarrhoeal Disease,14,,25,8,2017,25.6035084,83.50745405,0.3769483589,12.0,303.23,828
2375,34th week,Uttar Pradesh,Jaunpur,Acute Diarrhoeal Disease,25,2.0,22,8,2017,25.7955927,82.48834098,0.3332824536,17.0,300.96,828
2376,34th week,Bihar,Jehanabad,Acute Diarrhoeal Disease,17,3.0,13,8,2017,25.15247135,85.00687849,0.6532279597,,303.22,1102
2377,34th week,Bihar,Jamui,Malaria,5,,10,8,2017,24.96785205,86.17351147,0.507187856,9.0,,1102
2378,34th week,Karnataka,Tumkur,Chikungunya,34,,24,7,2017,13.3400771,77.1006208,0.1679182584,5.0,304.12,319
2379,34th week,Karnataka,Udupi,Dengue,63,,2,6,2017,13.3419169,74.7473232,1.017164019,,302.71500000000003,319
2380,34th week,Maharashtra,Nanded,Acute Gastroenteritis,27,,14,4,2017,19.09400875,77.48319215,4.92e-05,,320.0,365
2381,34th week,West Bengal,North 24 Parganas,Dengue,757,,1,8,2017,22.642931,88.8930579,0.6668045778,6.0,297.82,1030
2382,34th week,West Bengal,Purba Medinipur,Dengue,186,,31,7,2017,22.06217445,87.83672383,1.59813157,5.0,,1030
2383,34th week,West Bengal,Purba Medinipur,Dengue,90,,31,7,2017,22.06217445,87.83672383,1.59813157,5.0,,1030
2384,35th week,Assam,Dibrugarh,Cholera,24,,24,8,2017,27.4844597,94.9019447,0.401762508,22.0,291.265,397
2385,35th week,Assam,Kamrup,Acute Diarrhoeal Disease,16,,27,8,2017,26.12755515,91.29987148,0.6309130433,15.0,301.42,397
2386,35th week,Assam,Tinsukia,Acute Diarrhoeal Disease,280,,29,8,2017,27.52016575,95.53063473,0.5237995799,,303.38,397
2387,35th week,Bihar,Nawada,Acute Diarrhoeal Disease,19,1.0,27,8,2017,24.818124,85.51855623,0.2711582617,13.0,303.6533334,1102
2388,35th week,Jammu and Kashmir,Shopian,Acute Diarrhoeal Disease,18,,29,8,2017,33.718807,74.8333311,0.3273365824,,295.53000000000003,56
2389,35th week,Karnataka,Bidar,Acute Diarrhoeal Disease,17,,30,8,2017,18.083333,77.333333,1.507768512,14.0,,319
2390,35th week,Karnataka,Bidar,Acute Gastroenteritis,49,,2,9,2017,18.083333,77.333333,1.150282197,14.0,303.04,319
2391,35th week,Karnataka,Gadag,Acute Gastroenteritis,15,,29,8,2017,15.4206667,75.6225644,0.7469720715,,303.68,319
2392,35th week,Karnataka,Haveri,Acute Gastroenteritis,31,,30,8,2017,14.7874825,75.3996731,0.957321625,18.0,,319
2393,35th week,Madhya Pradesh,Khandwa,Chikungunya,45,,29,8,2017,21.9778642,76.56882823,0.756473563,,,236
2394,35th week,Madhya Pradesh,Khargone,Chikungunya,41,,25,8,2017,21.825599,75.614182,0.6359981043,8.0,298.2,236
2395,35th week,Telangana,Sangareddy,Acute Diarrhoeal Disease,27,,28,8,2017,17.86859205,77.82281995,0.5456919244,,300.36,312
2396,35th week,Uttar Pradesh,Mau,Acute Diarrhoeal Disease,10,,31,8,2017,26.0376878,83.49793418,0.6229923477,16.0,301.3066666,828
2397,35th week,West Bengal,Birbhum,Acute Diarrhoeal Disease,97,,4,9,2017,24.0,87.583333,0.8089144552,18.0,296.27,1030
2398,35th week,Bihar,Jamui,Acute Diarrhoeal Disease,12,,21,8,2017,24.96785205,86.17351147,0.9754575552,,298.25,1102
2399,35th week,Chandigarh,Chandigarh,Dengue,77,,7,8,2017,30.72984395,76.78414567,1.805582248,14.0,,9252
2400,35th week,Chhattisgarh,Bastar,Acute Diarrhoeal Disease,26,5.0,14,8,2017,19.11912825,81.82918649,0.8154084114,8.0,,189
2401,35th week,Karnataka,Tumkur,Dengue And Chikungunya,15,,23,8,2017,13.3400771,77.1006208,0.3104545478,4.0,301.90000000000003,319
2402,35th week,Maharashtra,Sindhudurg,Malaria,11,,23,8,2017,16.1357193,73.6522086,1.135270023,13.0,298.35,365
2403,35th week,Manipur,Imphal West,Dengue,164,,4,6,2017,24.757326,93.85847858,1.408557683,28.0,,122
2404,35th week,West Bengal,Birbhum,Dengue,383,,23,7,2017,24.0,87.583333,0.5813826903,4.0,306.40000000000003,1030
2405,36th week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,24,,3,9,2017,16.99842865,81.71561488,0.3244615379,20.0,300.93,308
2406,36th week,Bihar,Bhabua,Acute Diarrhoeal Disease,17,,9,9,2017,25.07634815,83.63359776,0.3026642654,19.0,302.3766666,1102
2407,36th week,Bihar,Nawada,Acute Diarrhoeal Disease,9,3.0,3,9,2017,24.818124,85.51855623,0.6298910186,17.0,303.68,1102
2408,36th week,Bihar,West Champaran,Acute Diarrhoeal Disease,13,,2,9,2017,26.6919717,84.5796928,0.780164959,14.0,302.02,1102
2409,36th week,Maharashtra,Beed,Acute Gastroenteritis,14,,6,9,2017,18.9918442,75.909784,0.05901117452,,304.24,365
2410,36th week,Maharashtra,Jalgaon,Acute Diarrhoeal Disease,20,1.0,3,9,2017,20.84288265,75.52612464,0.387581621,17.0,302.8266666,365
2411,36th week,Maharashtra,Sangli,Acute Diarrhoeal Disease,40,,4,9,2017,17.1726928,74.58676543,0.225798301,16.0,298.975,365
2412,36th week,Telangana,Khammam,Dengue,16,,4,9,2017,17.5,80.333333,0.1018610045,15.0,301.76,312
2413,36th week,Uttar Pradesh,Amethi,Acute Diarrhoeal Disease,47,1.0,1,9,2017,26.34738315,81.62387832,0.6776805605,20.0,299.55,828
2414,36th week,Uttarakhand,Tehri Garhwal,Acute Diarrhoeal Disease,7,,5,9,2017,30.5,78.666667,1.526703808,,288.02,189
2415,36th week,Assam,Lakhimpur,Acute Diarrhoeal Disease,8,,28,8,2017,27.0827158,93.9978423,0.262439787,,303.065,397
2416,36th week,Bihar,Nawada,Acute Diarrhoeal Disease,14,,30,8,2017,24.818124,85.51855623,0.3823244611,17.0,306.0,1102
2417,36th week,Himachal Pradesh,Solan,Dengue,10,,25,8,2017,30.92589585,77.08200509,0.5833126291,34.0,295.90000000000003,123
2418,36th week,Karnataka,Chikkaballapur,Dengue,95,,31,7,2017,13.6102243,77.5127721,0.09972418158,6.0,306.624,319
2419,36th week,Karnataka,Tumkur,Dengue And Chikungunya,32,,17,8,2017,13.3400771,77.1006208,0.4341899025,4.0,,319
2420,36th week,Maharashtra,Sangli,Dengue,11,,16,8,2017,17.1726928,74.58676543,0.1404045846,11.0,303.96,365
2421,36th week,Jammu and Kashmir,Pulwama,Acute Diarrhoeal Disease,31,,5,8,2017,33.89829355,74.89634094,0.9501646551,,286.6633334,56
2422,36th week,Maharashtra,Kolhapur,Malaria,6,,25,7,2017,16.7028412,74.2405329,0.7284388265,7.0,298.91,365
2423,36th week,West Bengal,North 24 Parganas,Dengue,806,,4,8,2017,22.642931,88.8930579,0.8237412199,,295.91,1030
2424,36th week,West Bengal,Purba Medinipur,Dengue,104,,18,8,2017,22.06217445,87.83672383,0.6258037772,5.0,,1030
2425,37th week,Assam,Nagaon,Acute Diarrhoeal Disease,13,,12,9,2017,26.30414915,92.71605974,0.9472657615,24.0,301.93,397
2426,37th week,Bihar,Bhabua,Acute Diarrhoeal Disease,14,,14,9,2017,25.07634815,83.63359776,0.452713333,,301.668,1102
2427,37th week,Bihar,Bhabua,Acute Diarrhoeal Disease,26,2.0,14,9,2017,25.07634815,83.63359776,0.452713333,,301.668,1102
2428,37th week,Bihar,Madhubani,Acute Diarrhoeal Disease,13,1.0,10,9,2017,26.350072,86.22914689,0.2068480881,20.0,301.28400000000005,1102
2429,37th week,Bihar,Muzaffarpur,Acute Diarrhoeal Disease,54,3.0,7,9,2017,26.1486581,85.34001282,0.3825989235,17.0,300.196,1102
2430,37th week,Gujarat,Surat,Acute Diarrhoeal Disease,18,,13,9,2017,21.19177615,72.95441578,0.7513579243,,304.87333340000004,308
2431,37th week,Jammu and Kashmir,Leh (Ladakh),Acute Gastroenteritis,30,,11,9,2017,34.1634271,77.5843437,0.0970785931,5.0,293.0166666,56
2432,37th week,Karnataka,Mandya,Dengue And Chikungunya,111,,12,9,2017,12.5238888,76.8961961,0.5440129053,11.0,302.18,319
2433,37th week,Karnataka,Raichur,Chikungunya,11,,13,9,2017,16.083333,77.166667,0.34379597,,303.42,319
2434,37th week,Karnataka,Shimoga,Dengue And Chikungunya,18,,11,9,2017,13.9326093,75.574978,0.8462083696,17.0,299.5666666,319
2435,37th week,Karnataka,Tumkur,Chikungunya,10,,8,9,2017,13.3400771,77.1006208,0.6875628286,8.0,302.42,319
2436,37th week,Karnataka,Tumkur,Chikungunya,22,,5,9,2017,13.3400771,77.1006208,0.2265009792,,307.41,319
2437,37th week,Madhya Pradesh,Barwani,Dengue,18,,12,9,2017,22.0333621,74.8978374,0.1689264483,20.0,303.185,236
2438,37th week,Madhya Pradesh,Khandwa,Chikungunya,27,,16,9,2017,21.9778642,76.56882823,1.010341305,17.0,304.90000000000003,236
2439,37th week,Madhya Pradesh,Raisen,Malaria,13,,13,9,2017,23.25,78.083333,0.3982459605,,304.91,236
2440,37th week,Maharashtra,Aurangabad,Dengue,18,,12,9,2017,19.877263,75.3390241,0.194173318,9.0,300.8533334,365
2441,37th week,Uttar Pradesh,Bara-Banki,Acute Diarrhoeal Disease,15,1.0,10,9,2017,26.9013312,81.2151601,0.06115148311,20.0,301.15000000000003,828
2442,37th week,Assam,Kamrup,Acute Diarrhoeal Disease,25,,5,9,2017,26.12755515,91.29987148,1.015994235,,300.98,397
2443,37th week,Bihar,Vaishali,Acute Diarrhoeal Disease,21,,18,8,2017,25.95322565,85.1445776,1.487610193,7.0,,1102
2444,37th week,Goa,South Goa,Dengue,179,,3,8,2017,15.21961365,74.1152813,0.6381093065,15.0,297.96,394
2445,37th week,Karnataka,Tumkur,Dengue,30,,4,9,2017,13.3400771,77.1006208,0.3467982571,6.0,307.41,319
2446,37th week,Maharashtra,Latur,Acute Diarrhoeal Disease,12,,3,9,2017,18.35159075,76.75542361,0.6918539039,18.0,301.955,365
2447,37th week,Maharashtra,Latur,Acute Diarrhoeal Disease,22,,3,9,2017,18.35159075,76.75542361,0.6918539039,18.0,301.955,365
2448,37th week,Maharashtra,Wardha,Acute Diarrhoeal Disease,15,,6,9,2017,20.82562315,78.6131455,0.09731620426,,303.672,365
2449,38th week,Chhattisgarh,Kawardha,Acute Diarrhoeal Disease,29,,19,9,2017,22.0059254,81.2332055,0.5352976868,16.0,302.99,189
2450,38th week,Gujarat,Sabarkantha,Acute Diarrhoeal Disease,34,,21,9,2017,24.0294885,73.0459884,0.3329927846,,303.05333340000004,308
2451,38th week,Karnataka,Hassan,Acute Gastroenteritis,4,2.0,17,9,2017,13.0070817,76.0992703,0.2711384885,12.0,301.5266666,319
2452,38th week,Maharashtra,Ahmednagar,Chikungunya,28,,17,9,2017,19.1627725,74.8580243,0.832104287,6.0,297.44,365
2453,38th week,Maharashtra,Nagpur,Dengue,5,,15,9,2017,21.1498134,79.0820556,1.03122049,13.0,300.6,365
2454,38th week,Maharashtra,Sindhudurg,Malaria,5,,16,9,2017,16.1357193,73.6522086,0.7414077077,11.0,302.0466666,365
2455,38th week,Tamil Nadu,Thiruvallur,Dengue,36,,18,9,2017,13.13014755,79.92435386,0.3660471481,10.0,302.5,555
2456,38th week,Assam,Kokrajhar,Dengue,4,1.0,10,9,2017,26.58687695,90.29293105,0.8524764544,24.0,297.36,397
2457,38th week,Bihar,Muzaffarpur,Acute Diarrhoeal Disease,15,,13,9,2017,26.1486581,85.34001282,0.2572989783,,302.845,1102
2458,38th week,Chhattisgarh,Bemetara,Acute Diarrhoeal Disease,48,,8,8,2017,21.6783969,81.43047623,0.551561137,6.0,,189
2459,38th week,West Bengal,Malda,Dengue And Chikungunya,493,,9,7,2017,25.0057449,88.1398483,1.295882154,4.0,,1030
